province,top5_analog_provinces,top5_geographic_neighbors,analog_geo_overlap_count,analog_geo_overlap_rate,mean_analog_distance_km,same_region_rate,cross_region_rate
Songkhla,Nakhon Si Thammarat|Surat Thani|Phatthalung|Krabi|Satun,Pattani|Phatthalung|Satun|Trang|Yala,2,0.4,157.90205082708752,1.0,0.0
Sukhothai,Uttaradit|Phichit|Phitsanulok|Kamphaeng Phet|Phetchabun,Kamphaeng Phet|Phichit|Phitsanulok|Tak|Uttaradit,4,0.8,104.00924991264193,1.0,0.0
Suphan Buri,Chai Nat|Saraburi|Phra Nakhon Si Ayutthaya|Nakhon Pathom|Sing Buri,Ang Thong|Chai Nat|Kanchanaburi|Phra Nakhon Si Ayutthaya|Sing Buri,3,0.6,69.8181276655225,1.0,0.0
Surat Thani,Chumphon|Krabi|Narathiwat|Satun|Trang,Chumphon|Krabi|Nakhon Si Thammarat|Phang-nga|Ranong,2,0.4,234.18987275810977,1.0,0.0
Surin,Udon Thani|Si Sa Ket|Khon Kaen|Sakon Nakhon|Maha Sarakham,Buri Ram|Maha Sarakham|Roi Et|Si Sa Ket|Yasothon,2,0.4,191.07870513745326,1.0,0.0
Tak,Lampang|Uthai Thani|Phetchabun|Phrae|Maha Sarakham,Kamphaeng Phet|Lamphun|Phichit|Phitsanulok|Sukhothai,0,0.0,259.9036642102257,0.8,0.19999999999999996
Trang,Narathiwat|Satun|Pattani|Phang-nga|Ranong,Krabi|Nakhon Si Thammarat|Phatthalung|Satun|Songkhla,1,0.2,212.04375460476086,1.0,0.0
Trat,Amnat Charoen|Nakhon Phanom|Nong Khai|Chanthaburi|Nakhon Nayok,Chachoengsao|Chanthaburi|Chon Buri|Rayong|Sa kaeo,1,0.2,418.4974525535141,0.4,0.6
Ubon Ratchathani,Si Sa Ket|Buri Ram|Maha Sarakham|Khon Kaen|Surin,Amnat Charoen|Mukdahan|Si Sa Ket|Surin|Yasothon,2,0.4,190.84210712666635,1.0,0.0
Udon Thani,Khon Kaen|Nong Bua Lam Phu|Sakon Nakhon|Surin|Kalasin,Bueng Kan|Kalasin|Nong Bua Lam Phu|Nong Khai|Sakon Nakhon,3,0.6,138.95190989755469,1.0,0.0
Uthai Thani,Phetchabun|Phichit|Nakhon Sawan|Suphan Buri|Kamphaeng Phet,Ang Thong|Chai Nat|Nakhon Sawan|Sing Buri|Suphan Buri,2,0.4,109.83098483007957,0.8,0.19999999999999996
Uttaradit,Sukhothai|Lampang|Phitsanulok|Phrae|Phetchabun,Lampang|Loei|Phitsanulok|Phrae|Sukhothai,4,0.8,103.06205687441266,1.0,0.0
Yala,Pattani|Narathiwat|Phang-nga|Trang|Chumphon,Narathiwat|Pattani|Phatthalung|Satun|Songkhla,2,0.4,246.48029875268531,1.0,0.0
Yasothon,Chaiyaphum|Surin|Sakon Nakhon|Udon Thani|Roi Et,Amnat Charoen|Mukdahan|Roi Et|Si Sa Ket|Ubon Ratchathani,1,0.2,168.1424952476345,1.0,0.0
