grouping,rows,bus_rows,bus_missing_rows,bus_missing_rate,bus_critical_weeks,target_known_rows,target_positive_rows,bus_rows_with_target,bus_rows_target_positive,current_label_positive_in_bus_rows,year,region,province
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Surin
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Tak
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Trang
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Trat
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Ubon Ratchathani
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Udon Thani
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Uthai Thani
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Uttaradit
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Yala
year_province,53,0,53,1.0,0,0,0,0,0,0,2015.0,,Yasothon
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Amnat Charoen
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Ang Thong
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Bangkok
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Bueng Kan
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Buri Ram
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chachoengsao
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chai Nat
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chaiyaphum
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chanthaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chiang Mai
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chiang Rai
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chon Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Chumphon
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Kalasin
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Kamphaeng Phet
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Kanchanaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Khon Kaen
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Krabi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Lampang
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Lamphun
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Loei
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Lop Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Mae Hong Son
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Maha Sarakham
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Mukdahan
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Nayok
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Pathom
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Phanom
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Ratchasima
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Sawan
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nakhon Si Thammarat
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nan
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Narathiwat
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nong Bua Lam Phu
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nong Khai
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Nonthaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Pathum Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Pattani
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phang-nga
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phatthalung
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phayao
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phetchabun
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phetchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phichit
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phitsanulok
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phra Nakhon Si Ayutthaya
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phrae
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Phuket
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Prachin Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Prachuap Khiri Khan
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Ranong
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Ratchaburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Rayong
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Roi Et
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Sa kaeo
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Sakon Nakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Samut Prakarn
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Samut Sakhon
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Samut Songkhram
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Saraburi
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Satun
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Si Sa Ket
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Sing Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Songkhla
year_province,53,0,53,1.0,0,52,1,0,0,0,2016.0,,Sukhothai
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Suphan Buri
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Surat Thani
year_province,53,0,53,1.0,0,52,0,0,0,0,2016.0,,Surin
