year,season,variety,province_month_rows,provinces,total_area,mean_ratio,max_ratio
2021,inseason,ปทุมธานี1,285,54,1844212,0.12231205715335525,0.7052631578947368
2021,inseason,ราชการไวต่อช่วงแสง,357,71,1843182,0.05147733791507454,0.337756052141527
2021,inseason,พันธุ์พื้นเมือง,341,70,1231461,0.08893449204557263,0.8506264053967234
2021,inseason,สุพรรณบุรี1,185,32,434647,0.043033710962458324,0.4754852932171215
2021,inseason,ชัยนาท1,207,39,233266,0.02362254317417326,0.4215686274509804
2021,inseason,"สุพรรณบุรี60,90",142,25,87230,0.005913685975928154,0.031007751937984496
2021,inseason,หอมสุพรรณบุรี,46,8,18117,0.0030782262709511017,0.015193303333817196
2021,offseason,กขไม่ไวต่อช่วงแสง,320,71,5055268,0.534354053479991,1.0
2021,offseason,ราชการไม่ไวต่อช่วงแสง,317,70,948129,0.1771199168329119,0.9669421487603306
2021,offseason,ปทุมธานี1,268,56,573157,0.11881939948560293,0.8076923076923077
2021,offseason,"พิษณุโลก2,60-2",219,43,542032,0.07116286923537511,0.35805626598465473
2021,offseason,"ชัยนาท1,2",218,48,322809,0.10724397279869775,0.6527093596059114
2021,offseason,กข10,122,29,292998,0.13053264800545283,0.6305686778688034
2021,offseason,สุพรรณบุรี1,187,36,181757,0.03900943158937681,0.31797390017489574
2021,offseason,"สุพรรณบุรี60,90",99,20,41084,0.017125255176604764,0.12041884816753927
2021,offseason,หอมสุพรรณบุรี,26,5,908,0.005272643430861006,0.03203434610303831
2022,inseason,ขาวดอกมะลิ105,319,63,26665493,0.25156420106677824,0.9224910749702498
2022,inseason,กข6,192,40,14323233,0.24608155221402972,0.8136333109469442
2022,inseason,ราชการไม่ไวต่อช่วงแสง,372,75,14110133,0.39277398046565676,0.9842360549717057
2022,inseason,กข15,134,29,2059343,0.029820810502219443,0.24875490741569362
2022,inseason,ปทุมธานี1,285,54,1844212,0.12231205715335525,0.7052631578947368
2022,inseason,ราชการไวต่อช่วงแสง,357,71,1843182,0.05147733791507454,0.337756052141527
2022,inseason,พันธุ์พื้นเมือง,341,70,1231461,0.08893449204557263,0.8506264053967234
2022,inseason,สุพรรณบุรี1,185,32,434647,0.043033710962458324,0.4754852932171215
2022,inseason,ชัยนาท1,207,39,233266,0.02362254317417326,0.4215686274509804
2022,inseason,"สุพรรณบุรี60,90",142,25,87230,0.005913685975928154,0.031007751937984496
2022,inseason,หอมสุพรรณบุรี,46,8,18117,0.0030782262709511017,0.015193303333817196
2022,offseason,กขไม่ไวต่อช่วงแสง,200,68,2679669,0.5426932090686205,0.9845440494590417
2022,offseason,ราชการไม่ไวต่อช่วงแสง,202,69,548022,0.1649642631496383,0.979002624671916
2022,offseason,ปทุมธานี1,170,55,456099,0.1118938276077964,0.7684210526315789
2022,offseason,"พิษณุโลก2,60-2",137,42,323341,0.07352295706704268,0.3333333333333333
2022,offseason,"ชัยนาท1,2",144,48,254353,0.10746211303717337,0.6391547049441786
2022,offseason,สุพรรณบุรี1,116,35,182068,0.0450346898844456,0.3283749200255918
2022,offseason,กข10,74,29,152134,0.12869797359804105,0.6115843270868825
2022,offseason,"สุพรรณบุรี60,90",62,20,15017,0.011757820166824976,0.07882882882882883
2022,offseason,หอมสุพรรณบุรี,10,3,571,0.00927780179918853,0.023264922450258498
