year,season,province,variety,area_old,area_updated,_merge,area_diff,area_abs_diff
2015,inseason,Chiang Rai,ราชการไวต่อช่วงแสง,1185799.0,38527.0,both,-1147272.0,1147272.0
2015,inseason,Chiang Rai,สุพรรณบุรี1,131547.0,4274.0,both,-127273.0,127273.0
2015,inseason,Chiang Rai,"สุพรรณบุรี60,90",277683.0,9022.0,both,-268661.0,268661.0
2015,inseason,Chiang Rai,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chon Buri,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chon Buri,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Chon Buri,ขาวดอกมะลิ105,746738.0,24176.0,both,-722562.0,722562.0
2015,inseason,Chon Buri,คลองหลวง1,7568.0,245.0,both,-7323.0,7323.0
2015,inseason,Chon Buri,ชัยนาท1,29187.0,945.0,both,-28242.0,28242.0
2015,inseason,Chon Buri,ปทุมธานี1,300122.0,9717.0,both,-290405.0,290405.0
2015,inseason,Chon Buri,พันธุ์พื้นเมือง,49109.0,1590.0,both,-47519.0,47519.0
2015,inseason,Chon Buri,ราชการไม่ไวต่อช่วงแสง,759123.0,24578.0,both,-734545.0,734545.0
2015,inseason,Chon Buri,ราชการไวต่อช่วงแสง,133738.0,4330.0,both,-129408.0,129408.0
2015,inseason,Chon Buri,สุพรรณบุรี1,34871.0,1129.0,both,-33742.0,33742.0
2015,inseason,Chon Buri,"สุพรรณบุรี60,90",60630.0,1963.0,both,-58667.0,58667.0
2015,inseason,Chon Buri,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,ขาวดอกมะลิ105,6244.0,202.0,both,-6042.0,6042.0
2015,inseason,Chumphon,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,ชัยนาท1,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,ปทุมธานี1,67451.0,2181.0,both,-65270.0,65270.0
2015,inseason,Chumphon,พันธุ์พื้นเมือง,65009.0,2103.0,both,-62906.0,62906.0
2015,inseason,Chumphon,ราชการไม่ไวต่อช่วงแสง,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,ราชการไวต่อช่วงแสง,18207.0,589.0,both,-17618.0,17618.0
2015,inseason,Chumphon,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Chumphon,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Kalasin,กข15,226093.0,7415.0,both,-218678.0,218678.0
2015,inseason,Kalasin,กข6,31868165.0,1045156.0,both,-30823009.0,30823009.0
2015,inseason,Kalasin,ขาวดอกมะลิ105,10061977.0,329995.0,both,-9731982.0,9731982.0
2015,inseason,Kalasin,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Kalasin,ชัยนาท1,31589.0,1036.0,both,-30553.0,30553.0
2015,inseason,Kalasin,ปทุมธานี1,0.0,0.0,both,0.0,0.0
2015,inseason,Kalasin,พันธุ์พื้นเมือง,777559.0,25501.0,both,-752058.0,752058.0
2015,inseason,Kalasin,ราชการไม่ไวต่อช่วงแสง,354278.0,11619.0,both,-342659.0,342659.0
2015,inseason,Kalasin,ราชการไวต่อช่วงแสง,567260.0,18604.0,both,-548656.0,548656.0
2015,inseason,Kalasin,สุพรรณบุรี1,0.0,0.0,both,0.0,0.0
2015,inseason,Kalasin,"สุพรรณบุรี60,90",0.0,0.0,both,0.0,0.0
2015,inseason,Kalasin,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Kamphaeng Phet,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Kamphaeng Phet,กข6,262827.0,8547.0,both,-254280.0,254280.0
2015,inseason,Kamphaeng Phet,ขาวดอกมะลิ105,2662405.0,86580.0,both,-2575825.0,2575825.0
2015,inseason,Kamphaeng Phet,คลองหลวง1,0.0,0.0,both,0.0,0.0
2015,inseason,Kamphaeng Phet,ชัยนาท1,625687.0,20347.0,both,-605340.0,605340.0
2015,inseason,Kamphaeng Phet,ปทุมธานี1,1663649.0,54101.0,both,-1609548.0,1609548.0
2015,inseason,Kamphaeng Phet,พันธุ์พื้นเมือง,482572.0,15693.0,both,-466879.0,466879.0
2015,inseason,Kamphaeng Phet,ราชการไม่ไวต่อช่วงแสง,26325883.0,856105.0,both,-25469778.0,25469778.0
2015,inseason,Kamphaeng Phet,ราชการไวต่อช่วงแสง,1202049.0,39090.0,both,-1162959.0,1162959.0
2015,inseason,Kamphaeng Phet,สุพรรณบุรี1,2621413.0,85247.0,both,-2536166.0,2536166.0
2015,inseason,Kamphaeng Phet,"สุพรรณบุรี60,90",940882.0,30597.0,both,-910285.0,910285.0
2015,inseason,Kamphaeng Phet,หอมสุพรรณบุรี,0.0,0.0,both,0.0,0.0
2015,inseason,Kanchanaburi,กข15,0.0,0.0,both,0.0,0.0
2015,inseason,Kanchanaburi,กข6,0.0,0.0,both,0.0,0.0
2015,inseason,Kanchanaburi,ขาวดอกมะลิ105,1233391.0,39803.0,both,-1193588.0,1193588.0
2015,inseason,Kanchanaburi,คลองหลวง1,0.0,0.0,both,0.0,0.0
