file_path,year,metadata_column,sample_unique_values,sample_unique_count
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,latitude,17.91401639,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,longitude,102.8044262,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,name,"17.91401639,102.8044262",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Nong Khai 2015-07-01.csv,2015,resolvedAddress,"17.91401639,102.8044262",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,address,Pathum Thani,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,latitude,14.04674576,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,longitude,100.6253898,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,name,"14.04674576,100.6253898",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pathum Thani 2015-01-01.csv,2015,resolvedAddress,"14.04674576,100.6253898",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,address,Pattani,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,latitude,6.756087719,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,longitude,101.3607456,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,name,"6.756087719,101.3607456",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Pattani 2015-07-01.csv,2015,resolvedAddress,"6.756087719,101.3607456",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,address,Phatthalung,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,latitude,7.54880303,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,longitude,100.0667121,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,name,"7.54880303,100.0667121",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phatthalung 2015-01-01.csv,2015,resolvedAddress,"7.54880303,100.0667121",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,address,Phayao,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,latitude,19.28419403,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,longitude,100.0843134,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,name,"19.28419403,100.0843134",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phayao 2015-07-01.csv,2015,resolvedAddress,"19.28419403,100.0843134",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,address,Phetchaburi,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,latitude,13.04547253,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,longitude,99.88163736,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,name,"13.04547253,99.88163736",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phetchaburi 2015-01-01.csv,2015,resolvedAddress,"13.04547253,99.88163736",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,address,Phichit,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,latitude,16.25902273,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,longitude,100.3543182,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,name,"16.25902273,100.3543182",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phichit 2015-07-01.csv,2015,resolvedAddress,"16.25902273,100.3543182",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,address,Phra Nakhon Si Ayutthaya,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,latitude,14.37482039,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,longitude,100.5316117,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,name,"14.37482039,100.5316117",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phra Nakhon Si Ayutthaya 2015-01-01.csv,2015,resolvedAddress,"14.37482039,100.5316117",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,address,Phrae,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,latitude,18.15474026,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,longitude,100.0967013,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,name,"18.15474026,100.0967013",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Phrae 2015-07-01.csv,2015,resolvedAddress,"18.15474026,100.0967013",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,address,Prachin Buri,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,latitude,13.99596825,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,longitude,101.5334444,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,name,"13.99596825,101.5334444",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachin Buri 2015-01-01.csv,2015,resolvedAddress,"13.99596825,101.5334444",1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,address,Prachuap Khiri Khan,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,info,,0
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,latitude,11.87997872,1
updated data\weather_hourly\Weather_Data_Blast_24H_2015\Prachuap Khiri Khan 2015-07-01.csv,2015,longitude,99.66968085,1
