model,feature_set,model_label,model_feature,policy,split,rows,positive_rows,threshold,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,region
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_North,884,18,0.62,0.0,0.0,0.0,0.562997177315884,0.02464606539174944,866,0,18,0,North
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_Northeast,1040,120,0.62,0.5121951219512195,0.35,0.4158415841584158,0.7845289855072464,0.38682851002217855,880,40,78,42,Northeast
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_South,728,4,0.62,0.0,0.0,0.0,0.9109116022099447,0.03914953580901857,723,1,4,0,South
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_precision,test_region_West,208,2,0.62,0.0,0.0,0.0,0.3349514563106796,0.010684430512016719,206,0,2,0,West
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_Central,728,10,0.11,0.02054794520547945,0.6,0.039735099337748346,0.7162952646239554,0.07911458000171628,432,286,4,6,Central
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_East,416,7,0.11,0.022653721682847898,1.0,0.04430379746835443,0.7460705553615089,0.16336461413833825,107,302,0,7,East
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_North,884,18,0.11,0.02194787379972565,0.8888888888888888,0.0428380187416332,0.562997177315884,0.02464606539174944,153,713,2,16,North
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_Northeast,1040,120,0.11,0.1279317697228145,1.0,0.2268431001890359,0.7845289855072464,0.38682851002217855,102,818,0,120,Northeast
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_South,728,4,0.11,0.028985507246376812,1.0,0.05633802816901409,0.9109116022099447,0.03914953580901857,590,134,0,4,South
random_forest,core_plus_analog_history,RF analog history,random_forest__core_plus_analog_history,high_recall,test_region_West,208,2,0.11,0.0,0.0,0.0,0.3349514563106796,0.010684430512016719,178,28,2,0,West
